profile_id,profile_name,ai_usage,primary_evidence,status,public_claim,limitation
normal_p01_p12,Normal enterprise baseline,AI1/AI2A baseline,Dataset/tools/final_dataset/docs/final_dataset_p01_p12_summary.md,validated_dataset_report,Normal P01-P12 exists as a validated baseline dataset,Summary-level evidence across profiles rather than one isolated session
A01,Discovery / Recon,AI2A,Dataset/tools/attack_profiles/attack_001_discovery/docs/attack_a01_discovery_final_summary.md,validated_dataset_report,A01 supports port_scan_or_recon coverage,None identified for Week 8 coverage
A02,SSH Authentication Attempt Anomaly,AI2A,Dataset/tools/attack_profiles/attack_002_ssh_authentication/merged/attack_a02_ssh_authentication_core_v3_report.json,validated_dataset_report,A02 supports ssh_bruteforce_indicator coverage,Zeek conn.log observes encrypted SSH flow behavior but not authentication result details
A03,Web Initial Access Indicator,AI2A,Dataset/tools/attack_profiles/attack_003_web_initial_access/docs/attack_a03_web_initial_access_final_summary.md,validated_dataset_report,A03 supports web_initial_access_indicator coverage,Indicator-level emulation rather than destructive exploit proof
A04,HTTP Beaconing Indicator,AI2A,Dataset/tools/attack_profiles/attack_004_http_beaconing/docs/attack_a04_http_beaconing_final_summary.md,validated_dataset_report,A04 supports http_beaconing_indicator coverage,Timing behavior matters more than row volume
A05,DNS Anomaly Indicator,AI2A,Dataset/tools/attack_profiles/attack_005_dns_anomaly/docs/attack_a05_dns_anomaly_final_summary.md,validated_dataset_report,A05 supports dns_anomaly_indicator coverage,DNS auxiliary modeling details are deferred to Week 9
A06,Collection And Local Staging,AI2A,Dataset/tools/attack_profiles/attack_006_collection_staging/docs/attack_a06_collection_staging_final_summary.md,validated_dataset_report,A06 supports collection_staging_indicator coverage,Local-only staging without transfer may not create network evidence
A07,Controlled Exfiltration,AI2A,Dataset/tools/attack_profiles/final_attack_dataset/reports/ai2a_classifier_dataset_v1_report.json,partial_aggregate_evidence,A07 appears in the aggregate AI2A classifier dataset,No profile-level final summary was found in the current scan
A08,Suspicious Administration,AI2A,Dataset/tools/attack_profiles/attack_008_suspicious_admin/docs/attack_a08_suspicious_admin_final_summary.md,validated_dataset_report,A08 supports suspicious_admin coverage,None identified for Week 8 coverage
A09,East-West Remote Service Simulation,AI2A,Dataset/tools/attack_profiles/attack_009_east_west_simulation/docs/attack_a09_east_west_final_summary.md,validated_dataset_report,A09 supports east_west_simulation coverage,Requires Endpoint B context for full lateral-movement interpretation
A10,Mixed Attack Chain,AI2A,Dataset/tools/attack_profiles/attack_010_mixed_attack_chain/docs/attack_a10_mixed_chain_final_summary.md,validated_dataset_report,A10 supports mixed chain evidence using per-flow labels,Do not collapse all flows into one multi_stage_attack class
A11,Not found,N/A,N/A,not_claimed,A11 is not claimed in Week 8,No A11 artifact was found in the current workspace scan
A12,Web Semantic SQLi/XSS,AI2B,Dataset/tools/attack_profiles/attack_012_web_semantic/http_logs/attack_a12_run_001_sqli_search_login_calibration_http.log,validated_raw_log,A12 supports AI2B SQLi/XSS HTTP semantic evidence,Representative logs are calibration/training evidence rather than blind-holdout scoring evidence
